no,ModelType,SNS,gender,age,YoB,Living Area,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,group,PerceivedExpertise_01,PerceivedExpertise_02,PerceivedExpertise_03,Intimacy_01,Intimacy_02,Intimacy_03,Intimacy_04,TrustWorthiness_01,TrustWorthiness_02,TrustWorthiness_03,Ad Attitude_01,Ad Attitude_02,Ad Attitude_03,Ad Attitude_04,Purchase Intent_01,Purchase Intent_02,Tourism Attitude,Similarity_01,Similarity_02,IntentPerception_01,IntentPerception_02,CognitivePerception_01,CognitivePerception_02,EmotionalPerception_01,EmotionalPerception_02,Empathy_01,Empathy_02,Empathy_03,Likeness to Virtualhuman,FrequentlyUsedSNSChannel,SNSUsageTime,MainSNSActivity,MainlyUsedSNSChannel,ReasonForObtainingTourismInfo,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,Occupation,Occupation,Occupation,Occupation,Occupation
37,Human,No SNS,2,36,2,5,1,2,3,4,5,6,7,,4,3,4,3,3,4,3,3,4,3,4,3,3,2,3,4,3,4,3,4,3,3,3,3,4,3,4,3,3,2,1,2,1,2,,,,,,,,,,,2,2
38,Virtual,No SNS,2,29,1,5,1,2,3,4,5,6,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,2,1,,,,,,,,,2,3
39,Virtual,No SNS,1,38,2,8,1,2,,4,5,6,7,,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,1,2,2,3,3,3,2,3,1,2,,,,,,,,,,,1,2
41,Virtual,No SNS,2,37,2,1,1,2,3,,,6,,,3,4,5,5,5,5,5,5,5,4,5,5,5,5,4,4,3,4,4,3,4,5,4,5,5,4,3,4,4,3,2,5,1,1,2,1,,,,,,,,,1,7
42,Virtual,No SNS,1,44,3,1,1,2,3,4,5,6,7,,3,5,4,3,5,5,4,5,4,4,4,5,5,4,4,4,3,4,3,3,4,5,4,4,4,4,5,3,3,5,2,3,1,1,2,1,,3,,5,,7,,,1,2
43,Virtual,No SNS,2,35,2,1,1,2,3,4,5,6,7,,3,3,3,2,5,4,4,4,4,3,4,1,1,4,1,1,1,1,4,4,4,4,3,4,4,4,3,4,4,4,2,5,1,1,1,,,3,,,6,,,,1,2
44,Virtual,No SNS,2,40,3,1,1,2,3,4,,,7,,3,3,3,4,5,5,5,5,5,4,4,3,3,4,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,1,1,4,,,,,5,,,,,1,7
45,Virtual,No SNS,1,42,3,3,1,2,3,4,5,6,7,,3,4,2,4,3,3,3,4,3,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4,4,3,3,4,3,1,1,5,,,,4,,6,7,,,1,4
47,Human,SNS,2,30,2,14,1,2,3,4,5,6,7,,2,3,4,3,4,4,4,4,4,3,4,3,3,4,3,3,2,3,2,2,3,3,3,4,4,4,2,2,2,2,2,3,1,1,2,1,,,,,,,,,2,6
49,Virtual,No SNS,1,36,2,6,1,2,3,4,5,6,7,,3,2,2,1,1,1,2,1,1,1,1,3,4,3,2,1,2,3,2,2,1,3,3,1,1,2,1,1,2,1,1,2,2,1,4,,,,,5,,,8,,1,6
50,Virtual,No SNS,1,42,3,8,,2,3,4,5,6,7,,3,3,4,3,2,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,3,4,4,3,2,4,2,2,2,2,1,3,1,1,2,,,3,,,,7,,,1,4
51,Human,No SNS,2,26,1,8,1,2,3,4,5,6,7,,4,3,2,3,2,4,4,4,3,3,3,4,3,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,2,1,2,,,5,,,,,2,2
52,Human,No SNS,2,39,2,8,1,2,,,5,6,,,4,3,4,3,3,4,4,4,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,4,3,4,3,4,3,4,2,4,3,2,,,,,,,,,,,2,8
53,Virtual,SNS,2,30,2,14,1,2,3,4,5,6,7,,1,3,3,2,4,4,3,4,3,3,3,3,3,4,3,2,3,3,3,3,4,4,3,4,3,4,3,4,3,4,1,5,1,1,4,,,3,4,5,,7,,,1,7
58,Virtual,SNS,2,43,3,1,1,2,3,4,5,6,7,,1,3,2,2,3,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,5,5,1,1,1,,,,4,,,,,,2,4
59,Virtual,SNS,1,30,2,8,1,2,3,4,5,6,7,,1,3,3,2,2,2,2,3,2,3,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,4,1,2,,,,,,,,,,,2,2
60,Virtual,SNS,2,43,3,8,1,2,,,,,,,1,3,4,3,2,3,3,3,2,2,2,3,3,3,2,3,3,3,3,2,3,4,4,3,3,3,3,3,2,3,1,3,1,1,4,,,,,,6,,,,1,3
